Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Szymon  Żywko ,WALKING,02/08/2020,16:42:18,00:31:41,1.05,,2.0,8.8,30:12,06:47,83,74,54,,,0,39,52,,,,179.0,62.0,205,65,71,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,0.0,00:00,0,61,,0.00,33.2,,
,00:00:01,,0.0,00:00,0,61,,0.00,33.2,,
,00:00:02,,0.6,105:12,0,61,,0.00,33.2,,
,00:00:03,,0.6,105:12,0,61,,0.10,33.2,,
,00:00:04,,0.0,00:00,0,61,,0.10,33.2,,
,00:00:05,,0.0,00:00,0,61,,0.10,33.2,,
,00:00:06,,0.0,00:00,0,61,,0.10,33.2,,
,00:00:07,,1.4,43:23,0,58,,0.80,33.2,,
,00:00:08,,1.4,43:23,0,58,,0.90,33.2,,
,00:00:09,,2.2,27:34,0,58,,1.30,33.2,,
,00:00:10,,2.2,27:34,0,58,,2.20,33.2,,
,00:00:11,,0.0,00:00,0,58,,2.20,33.2,,
,00:00:12,,0.0,00:00,0,58,,2.20,33.2,,
,00:00:13,,0.0,00:00,0,58,,2.20,33.3,,
,00:00:14,,0.0,00:00,0,58,,2.20,33.3,,
,00:00:15,,0.0,00:00,0,57,,2.20,33.3,,
,00:00:16,,0.0,00:00,0,57,,2.20,33.3,,
,00:00:17,,0.0,00:00,0,57,,2.20,33.3,,
,00:00:18,,0.0,00:00,0,57,,2.20,33.3,,
,00:00:19,,0.0,00:00,0,57,,2.20,33.4,,
,00:00:20,,0.0,00:00,0,57,,2.20,33.4,,
,00:00:21,,0.0,00:00,0,56,,2.20,33.4,,
,00:00:22,,0.0,00:00,0,56,,2.20,33.4,,
,00:00:23,,0.0,00:00,0,56,,2.20,33.4,,
,00:00:24,,0.0,00:00,0,56,,2.20,33.4,,
